"fecha","unidad","descrubicacion","ubicacion","departamento","violencia","tamano","electoral","observaciones","numpolicias","nummilitares","toma","grupo","desalojo","lon","lat","location"
2017-11-05,"UDEP-02 Colon","Aldea Punta Rieles Chacalapa jurisdicción de Ilanga","Trujillo","Colon","Violenta","150","No","Tomaron por la fuerza con machetes en mano, palos y piedras la Finca aceitera de palma de la cooperativa Salama, los campesinos quieren adueñarse de la finca para extraer la fruta.",158,0,"No","campesinos del sector agrario de la comunidad Charapa","Pacifico",-79.0215336,-8.1090524,"-8.1090524,-79.0215336"
2017-11-06,"UMEP-09 La Lima","Peaje boulevard Este, Colonia Guadalupe, San Manuel","La Lima","Cortes","Pacifica","3","No","Protestar en contra del cobro del peaje se mantiene dispositivo de seguridad para prevención.",5,0,"No","organizaciones del Progreso, Yoro","Pacifico",-87.9040571,15.4321163,"15.4321163,-87.9040571"
2017-11-06,"UDEP-02 Colon","Finca de palma aceitera Tumbador","Trujillo","Colon","Violenta","200","No","La Finca Tumbador es propiedad de la Exportadora del Atlántico con 700 hectáreas terreno",157,0,"No","Movimiento campesinos del Bajo Aguan","Violento",-79.0215336,-8.1090524,"-8.1090524,-79.0215336"
2017-11-06,"UDEP-07 El Paraiso","Hospital Gabriela Alvarado","Danli","El Paraiso","Pacifica","15","No","Paro de labores por parte de los enfermeros medicina interna, cirugía, consulta, quirofano, labor y parto del hospital por incumplimiento de pago salario por 4 meses (pendiente de su finalización)",NA,0,"No","enfermeros del hospital Gabriela Alvarado","Ninguno",-86.5703554,14.0410953,"14.0410953,-86.5703554"
2017-11-06,"UMEP-04 Kennedy","Boulevard Suyapa frente portón principal UNAH","Tegucigalpa","Francisco Morazan","Violenta",NA,"No","Daños materiales y lesiones en perjuicio de la seguridad del Estado, lesionando a dos (2) agentes policía, daños a la unidad transporte policial",NA,0,"No",NA,"Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-07,"UMEP-03 La Rosa","Canchas de fútbol del parque Obelisco/ Sede de partido Nacional de Honduras/TSE/UNAH/Casa Presidencial","Comayaguela","Francisco Morazan","Pacifica","5,000","Si","Grupos de opositores de diferentes partidos políticos quienes están en contra la reelección y el continuismo concentrándose en el TSE",550,0,"No","Movimiento popular para la defensa del medio ambiente MPDMA y MEU","Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-07,"UDEP-04 Copan","Juzgado de Paz del Barrio El Centro","La Union","Copan","Pacifica","35","Si","Audiencia a 12 vecinos de la aldea Azacualpa ya que han tenido problemas por diferencias políticas, apoyándolos a ellos 35 personas en las afueras del Juzgado",NA,0,"No",NA,"Ninguno",120.3209373,16.6158906,"16.6158906,120.3209373"
2017-11-06,"UDEP-07 El Paraiso","Alcaldía Municipal","Danli","El Paraiso","Pacifica","70","No","Empleados de la municipal comunal Danlidense exigiendo pago de salarios atrasados esperan la llegada del Alcalde para llegar acuerdo",NA,0,"No","Comunal Danlidense","Ninguno",-86.5703554,14.0410953,"14.0410953,-86.5703554"
2017-11-08,"UMEP-03 La Rosa","Barrio Birichiche","Comayaguela","Francisco Morazan","Pacifica","300","No","Mujeres del movimiento por la paz Visitación Padilla que se dirigen a la Corte Suprema y Casa Presidencial exigiendo justicia por todos los femicidios en el país",NA,0,"No","Visitación Padilla","Ninguno",-87.192136,14.0722751,"14.0722751,-87.192136"
2017-11-10,"UMEP-09 La Lima","Peaje ubicado en el boulevard Este Colonia Guadalupe","San Manuel","Cortes","Pacifica","3","No","Protesta por el cobro del peaje se mantiene dispositivo de seguridad para prevención",4,0,"No","organizaciones del Progreso, Yoro","Ninguno",-117.2293408,34.1504241,"34.1504241,-117.2293408"
